EstablishmentDetail - FHRSID,EstablishmentDetail - RatingKey,EstablishmentDetail - SchemeType,EstablishmentDetail - RatingValue,BusinessName,EstablishmentDetail - BusinessType,EstablishmentDetail - BusinessTypeID,EstablishmentDetail - NewRatingPending,EstablishmentDetail - LocalAuthorityCode,EstablishmentDetail - LocalAuthorityName,EstablishmentDetail - LocalAuthorityWebSite,EstablishmentDetail - LocalAuthorityBusinessID,EstablishmentDetail - LocalAuthorityEmailAddress,EstablishmentDetail - RatingDate,EstablishmentDetail - RatingDate - xsi:nil,EstablishmentDetail - AddressLine1,EstablishmentDetail - AddressLine2,EstablishmentDetail - AddressLine3,EstablishmentDetail - PostCode,EstablishmentDetail - Geocode - Latitude,EstablishmentDetail - Geocode - Longitude,EstablishmentDetail - Scores - Hygiene,EstablishmentDetail - Scores - Structural,EstablishmentDetail - Scores - ConfidenceInManagement,EstablishmentDetail - AddressLine4
951886,fhrs_exempt_en-GB,FHRS,Exempt,120 Benton Street,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000051689,foodsafety@baberghmidsuffolk.gov.uk,2017-04-07,,,,,,,,,,,
951884,fhrs_exempt_en-GB,FHRS,Exempt,3 Ann Beaumont Way,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000050028,foodsafety@baberghmidsuffolk.gov.uk,2017-03-29,,,,,,,,,,,
957621,fhrs_exempt_en-GB,FHRS,Exempt,7 High Street,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000056366,foodsafety@baberghmidsuffolk.gov.uk,2017-03-28,,,,,,,,,,,
526731,fhrs_exempt_en-GB,FHRS,Exempt,A & G News,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000055726,foodsafety@baberghmidsuffolk.gov.uk,2011-09-28,,6 Friars Street,SUDBURY,Suffolk,CO10 2AA,52.03735200000000,0.72908000000000,,,,
861699,fhrs_5_en-GB,FHRS,5,A G Lifestyle,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000109856,foodsafety@baberghmidsuffolk.gov.uk,2016-04-07,,38 Station Road,SUDBURY,Suffolk,CO10 2SS,52.03688800000000,0.73160300000000,0,0,5,
526543,fhrs_5_en-GB,FHRS,5,A Leeder Butchers,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000036352,foodsafety@baberghmidsuffolk.gov.uk,2018-01-25,,33 Swan Street,Boxford,SUDBURY,CO10 5NZ,52.02934900000000,0.85756600000000,5,5,0,Suffolk
560593,fhrs_5_en-GB,FHRS,5,A Rich Source Company,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000025684,foodsafety@baberghmidsuffolk.gov.uk,2016-06-14,,,,,,,,0,0,0,
526626,fhrs_5_en-GB,FHRS,5,A Taste Of Home,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000046693,foodsafety@baberghmidsuffolk.gov.uk,2011-08-18,,,,,,,,0,0,0,
526987,fhrs_exempt_en-GB,FHRS,Exempt,Abc Preschool,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000111131,foodsafety@baberghmidsuffolk.gov.uk,2012-11-29,,ABC Pre School,Country Primary School,Strickmere,CO7 6YG,51.97134600000000,0.97423600000000,,,,Stratford St Mary
526478,fhrs_4_en-GB,FHRS,4,Acton CEVC Primary School,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000024409,foodsafety@baberghmidsuffolk.gov.uk,2017-05-03,,Acton C of E Voluntary Controlled Primary School,Lambert Drive,Acton,CO10 0US,52.06788000000000,0.76470800000000,0,10,0,SUDBURY
