index,keywordsvec,Freq
42768,and,3272
42937,arms,3261
56454,white,895
50163,lion,894
48566,head,882
48999,house,852
45865,crown,845
48956,horse,828
51887,of,812
51905,old,764
53112,red,665
53564,royal,643
43280,bar,634
51837,oak,547
43778,black,540
54999,swan,483
49659,kings,482
51589,new,459
47788,george,410
55360,three,376
44933,centre,370
43564,bell,366
52554,plough,337
47459,fox,332
53489,rose,322
55619,tree,321
52992,railway,309
44850,castle,303
43045,at,301
48108,green,291
48458,hart,290
45845,cross,289
48325,hall,288
54121,ship,285
44449,bull,284
52804,pub,272
50359,lounge,262
52158,park,260
42762,anchor,255
52765,prince,250
48994,hounds,248
54951,sun,245
54702,star,227
54591,sports,225
43888,blue,221
56002,victoria,220
46559,duke,214
47970,golden,214
46344,dog,209
48963,horses,204
50273,lodge,203
56409,wheatsheaf,201
56599,wine,195
46456,dragon,186
51909,olde,186
49711,kitchen,177
56870,ye,177
54639,st,174
52908,queen's,164
56135,wales,162
44616,cafe,159
51058,mill,159
45353,coach,158
50331,lord,155
56024,village,155
43032,association,154
49423,jolly,154
43582,bells,152
49158,in,151
55145,tap,148
48158,greyhound,147
49615,keys,146
51265,moon,145
44228,bridge,143
48409,hare,141
49652,king,141
48172,grill,140
45504,community,138
52910,queens,137
54721,station,137
48967,horseshoes,135
45394,cock,132
45072,chequers,131
56326,wellington,130
46634,eagle,129
50614,man,125
53215,rest,124
43441,bay,122
42786,angel,121
43474,bear,121
56543,william,119
49849,lamb,118
42653,ale,116
47741,gate,114
51927,on,113
55300,theatre,112
47068,farm,110
51928,one,109
53342,rising,108
52907,queen,107
44531,bush,104
51103,miners,104
51478,nag's,102
49405,john,99
53470,room,98
54427,social,98
45803,cricketers,97
45712,cow,96
50760,masons,93
48370,hand,92
54877,street,92
56898,york,92
50028,leisure,91
47927,globe,89
50127,limited,89
55946,vaults,89
56590,windmill,88
44832,carvery,87
45622,corner,87
51561,nelson,87
48073,grapes,86
55867,union,85
56354,west,84
55471,toby,83
44203,brewers,82
55598,travellers,82
48321,half,81
50689,market,81
2,-,79
46841,end,79
42633,albert,78
54256,sir,78
56113,waggon,77
47072,farmers,76
42637,albion,75
44204,brewery,75
44450,bull's,75
50642,manor,75
53382,robin,75
47295,five,74
55556,town,74
48472,harvester,72
53395,rock,72
45671,cottage,71
47451,fountain,71
48323,halfway,71
53987,seven,71
43912,boat,70
48904,hood,70
50187,little,70
43531,beehive,69
54652,stag,69
49399,jockey,68
53473,rooms,68
56034,vine,68
51718,north,67
44544,butchers,66
51670,no,66
43252,bank,65
45498,commercial,65
47418,foresters,65
43534,beer,64
44799,carpenters,64
46544,duck,64
48757,hill,64
50295,london,64
43331,barley,63
43741,bird,63
50061,lettuce,63
54337,slug,63
55102,talbot,63
44932,central,62
46365,dolphin,62
50598,malt,62
52439,pig,62
55738,tuns,62
56848,y,62
228,@,61
44086,bowl,61
48169,griffin,61
52687,post,61
56311,welfare,61
44274,britannia,60
48925,hope,60
52230,pavilion,60
55801,two,60
45211,city,59
47694,gardeners,59
49927,last,59
42683,all,58
54404,snooker,58
47117,feathers,57
49474,junction,57
51366,mow,57
54712,stars,57
47328,fleece,56
48191,groom,56
49203,institute,56
56755,woolpack,56
44092,bowling,55
48001,goose,55
48452,harrow,55
49194,inn,55
54266,six,55
56314,well,55
45176,church,54
47454,four,54
49262,iv,54
52833,punch,54
43212,ball,53
44004,boot,53
44582,c,53
44862,cat,53
48098,great,53
48965,horseshoe,53
51787,o,53
54595,sportsman,53
44046,bottle,52
45690,country,52
48883,home,51
51880,oddfellows,51
47377,flying,50
48860,holly,50
48920,hop,50
43806,blacksmiths,49
44229,bridge(s),49
52407,phoenix,49
53242,revolution,49
56010,view,49
56729,woodman,49
53327,ring,48
44360,brown,47
47036,falcon,47
52247,peacock,47
44276,british,46
51447,mutton,46
54169,shovel,46
55397,tiger,46
44103,boy,45
45507,company,45
48202,grove,45
54168,shoulder,45
55512,top,45
55969,venue,45
56079,volunteer,45
42562,admiral,44
43339,barn,44
50467,m,44
52194,partridge,44
55864,unicorn,44
43371,barrel,43
44461,bulls,43
47165,ferry,43
51572,nest,43
56095,w,43
240,1,42
42476,a,42
52396,pheasant,42
53426,roebuck,42
45075,cherry,41
45697,court,41
52698,pot,41
56411,wheel,41
46639,earl,40
46771,elephant,40
48843,hole,40
50193,live,40
50710,marquis,40
51351,mount,40
52063,pack,40
56595,windsor,40
233,/,39
42575,afc,39
46187,derby,39
47110,fc,39
48154,grey,39
48398,harbour,39
54938,suite,39
